# TIC 276754403, Night 2025-07-15
# Transit midtime (Tc) = 2460872.5998194860
# T1 = 2460872.5443472126
# T4 = 2460872.6552917594
BJD,FLUX
2460872.6843552813,1.0
2460872.684601129,1.0
2460872.6848469763,1.0
2460872.685092824,1.0
2460872.685338672,1.0
2460872.6855845195,1.0
2460872.6858303673,1.0
2460872.686076215,1.0
2460872.6863220627,1.0
2460872.6865679105,1.0
2460872.686813758,1.0
2460872.687059606,1.0
2460872.6873054537,1.0
2460872.687551301,1.0
2460872.6877971487,1.0
2460872.6880429965,1.0
2460872.688288844,1.0
2460872.688534692,1.0
2460872.6887805397,1.0
2460872.6890263874,1.0
2460872.689272235,1.0
2460872.689518083,1.0
2460872.6897639306,1.0
2460872.6900097784,1.0
2460872.690255626,1.0
2460872.6905014734,1.0
2460872.690747321,1.0
2460872.690993169,1.0
2460872.6912390166,1.0
2460872.6914848643,1.0
2460872.691730712,1.0
2460872.69197656,1.0
2460872.6922224076,1.0
2460872.6924682553,1.0
2460872.692714103,1.0
2460872.692959951,1.0
2460872.6932057985,1.0
2460872.693451646,1.0
2460872.6936974935,1.0
2460872.6939433413,1.0
2460872.694189189,1.0
2460872.6944350367,1.0
2460872.6946808845,1.0
2460872.694926732,1.0
2460872.69517258,1.0
2460872.6954184277,1.0
2460872.6956642754,1.0
2460872.695910123,1.0
2460872.696155971,1.0
2460872.696401818,1.0
2460872.696647666,1.0
